id,timestamp,groupid,from_mac,to_mac,sensorvalue_a,sensorvalue_b,sensorvalue_c,sensorvalue_d,sensorvalue_e,sensorvalue_f
539,2023-11-16 12:17:57,10,0,0,3.0,1478.0,1514.0,1785.0,0.0,0
540,2023-11-16 12:17:57,10,0,0,3.0,1468.0,1517.0,1790.0,0.0,0
541,2023-11-16 12:17:57,10,0,0,3.0,1474.0,1513.0,1788.0,0.0,0
542,2023-11-16 12:17:57,10,0,0,3.0,1472.0,1514.0,1788.0,0.0,0
543,2023-11-16 12:17:57,10,0,0,3.0,1474.0,1513.0,1786.0,0.0,0
544,2023-11-16 12:17:57,10,0,0,3.0,1476.0,1510.0,1789.0,0.0,0
545,2023-11-16 12:17:57,10,0,0,3.0,1472.0,1511.0,1791.0,0.0,0
546,2023-11-16 12:17:57,10,0,0,3.0,1468.0,1518.0,1784.0,0.0,0
547,2023-11-16 12:17:57,10,0,0,3.0,1478.0,1517.0,1787.0,0.0,0
548,2023-11-16 12:17:57,10,0,0,3.0,1475.0,1510.0,1789.0,0.0,0
549,2023-11-16 12:17:57,10,0,0,3.0,1468.0,1515.0,1785.0,0.0,0
550,2023-11-16 12:17:57,10,0,0,3.0,1473.0,1518.0,1791.0,0.0,0
551,2023-11-16 12:17:58,10,0,0,3.0,1478.0,1513.0,1791.0,0.0,0
552,2023-11-16 12:17:58,10,0,0,3.0,1472.0,1513.0,1791.0,0.0,0
553,2023-11-16 12:17:58,10,0,0,3.0,1474.0,1518.0,1785.0,0.0,0
554,2023-11-16 12:17:58,10,0,0,3.0,1475.0,1513.0,1792.0,0.0,0
555,2023-11-16 12:17:58,10,0,0,3.0,1476.0,1515.0,1788.0,0.0,0
556,2023-11-16 12:17:58,10,0,0,3.0,1477.0,1510.0,1791.0,0.0,0
557,2023-11-16 12:17:58,10,0,0,3.0,1471.0,1514.0,1786.0,0.0,0
558,2023-11-16 12:17:58,10,0,0,3.0,1480.0,1515.0,1792.0,0.0,0
559,2023-11-16 12:17:58,10,0,0,3.0,1473.0,1512.0,1786.0,0.0,0
560,2023-11-16 12:17:58,10,0,0,3.0,1468.0,1515.0,1788.0,0.0,0
561,2023-11-16 12:17:58,10,0,0,3.0,1468.0,1511.0,1788.0,0.0,0
562,2023-11-16 12:17:58,10,0,0,3.0,1474.0,1516.0,1791.0,0.0,0
563,2023-11-16 12:17:58,10,0,0,3.0,1471.0,1516.0,1786.0,0.0,0
564,2023-11-16 12:17:58,10,0,0,3.0,1473.0,1507.0,1786.0,0.0,0
565,2023-11-16 12:17:58,10,0,0,3.0,1471.0,1506.0,1792.0,0.0,0
566,2023-11-16 12:17:58,10,0,0,3.0,1477.0,1511.0,1792.0,0.0,0
567,2023-11-16 12:17:58,10,0,0,3.0,1476.0,1515.0,1791.0,0.0,0
568,2023-11-16 12:17:59,10,0,0,3.0,1475.0,1511.0,1791.0,0.0,0
569,2023-11-16 12:17:59,10,0,0,3.0,1473.0,1508.0,1785.0,0.0,0
570,2023-11-16 12:17:59,10,0,0,3.0,1473.0,1518.0,1790.0,0.0,0
571,2023-11-16 12:17:59,10,0,0,3.0,1474.0,1510.0,1790.0,0.0,0
572,2023-11-16 12:17:59,10,0,0,3.0,1472.0,1508.0,1792.0,0.0,0
573,2023-11-16 12:17:59,10,0,0,3.0,1475.0,1520.0,1789.0,0.0,0
574,2023-11-16 12:17:59,10,0,0,3.0,1478.0,1514.0,1785.0,0.0,0
575,2023-11-16 12:17:59,10,0,0,3.0,1473.0,1513.0,1793.0,0.0,0
576,2023-11-16 12:17:59,10,0,0,3.0,1471.0,1513.0,1792.0,0.0,0
577,2023-11-16 12:17:59,10,0,0,3.0,1470.0,1510.0,1785.0,0.0,0
578,2023-11-16 12:17:59,10,0,0,3.0,1478.0,1515.0,1789.0,0.0,0
579,2023-11-16 12:17:59,10,0,0,3.0,1468.0,1512.0,1783.0,0.0,0
580,2023-11-16 12:17:59,10,0,0,3.0,1472.0,1515.0,1786.0,0.0,0
581,2023-11-16 12:17:59,10,0,0,3.0,1473.0,1509.0,1792.0,0.0,0
582,2023-11-16 12:17:59,10,0,0,3.0,1473.0,1510.0,1789.0,0.0,0
583,2023-11-16 12:17:59,10,0,0,3.0,1469.0,1509.0,1792.0,0.0,0
584,2023-11-16 12:17:59,10,0,0,3.0,1472.0,1511.0,1789.0,0.0,0
585,2023-11-16 12:17:59,10,0,0,3.0,1473.0,1512.0,1792.0,0.0,0
586,2023-11-16 12:17:59,10,0,0,3.0,1471.0,1515.0,1787.0,0.0,0
587,2023-11-16 12:17:59,10,0,0,3.0,1473.0,1515.0,1785.0,0.0,0
588,2023-11-16 12:17:59,10,0,0,3.0,1470.0,1517.0,1790.0,0.0,0
589,2023-11-16 12:18:00,10,0,0,3.0,1471.0,1512.0,1790.0,0.0,0
590,2023-11-16 12:18:00,10,0,0,3.0,1476.0,1520.0,1792.0,0.0,0
591,2023-11-16 12:23:28,10,0,0,3.0,1467.0,1513.0,1788.0,0.0,0
592,2023-11-16 12:23:28,10,0,0,3.0,1473.0,1513.0,1788.0,0.0,0
593,2023-11-16 12:23:28,10,0,0,3.0,1474.0,1511.0,1790.0,0.0,0
594,2023-11-16 12:23:28,10,0,0,3.0,1475.0,1513.0,1792.0,0.0,0
595,2023-11-16 12:23:28,10,0,0,3.0,1476.0,1510.0,1790.0,0.0,0
